GenderID,GenderName,GenderDescr
1,Agender,
2,Androgyne,
3,Androgynous,
4,Bigender,
5,Cis,
6,Cisgender,
7,Cis Female,
8,Cis Male,
9,Cis Man,
10,Cis Woman,
11,Cisgender Female,
12,Cisgender Male,
13,Cisgender Man,
14,Cisgender Woman,
15,Female to Male,
16,FTM,
17,Gender Fluid,
18,Gender Nonconforming,
19,Gender Questioning,
20,Gender Variant,
21,Genderqueer,
22,Intersex,
23,Male to Female,
24,MTF,
25,Neither,
26,Neutrois,
27,Non-binary,
28,Other,
29,Pangender,
30,Trans,
31,Trans*,
32,Trans Female,
33,Trans* Female,
34,Trans Male,
35,Trans* Male,
36,Trans Man,
37,Trans* Man,
38,Trans Person,
39,Trans* Person,
40,Trans Woman,
41,Trans* Woman,
42,Transfeminine,
43,Transgender,
44,Transgender Female,
45,Transgender Male,
46,Transgender Man,
47,Transgender Person,
48,Transgender Woman,
49,Transmasculine,
50,Transsexual,
51,Transsexual Female,
52,Transsexual Male,
53,Transsexual Man,
54,Transsexual Person,
55,Transsexual Woman,
56,Two-Spirit,
