JargonID,JargonName
1,Afrikaans
2,Albanian
3,Amharic
4,Arabic
5,Armenian
6,Azerbaijani
7,Basque
8,Belarusian
9,Bengali
10,Bosnian
11,Bulgarian
12,Catalan
13,Cebuano
14,Chichewa
15,Chinese (Simplified and Traditional)
16,Corsican
17,Croatian
18,Czech
19,Danish
20,Dutch
21,English
22,Esperanto
23,Estonian
24,Filipino
25,Finnish
26,French
27,Frisian
28,Galician
29,Georgian
30,German
31,Greek
32,Gujarati
33,Haitian Creole
34,Hausa
35,Hawaiian
36,Hebrew
37,Hindi
38,Hmong
39,Hungarian
40,Icelandic
41,Igbo
42,Indonesian
43,Irish
44,Italian
45,Japanese
46,Javanese
47,Kannada
48,Kazakh
49,Khmer
50,Korean
51,Kurdish (Kurmanji)
52,Kyrgyz
53,Lao
54,Latin
55,Latvian
56,Lithuanian
57,Luxembourgish
58,Macedonian
59,Malagasy
60,Malay
61,Malayalam
62,Maltese
63,Maori
64,Marathi
65,Mongolian
66,Myanmar (Burmese)
67,Nepali
68,Norwegian
69,Pashto
70,Persian
71,Polish
72,Portuguese
73,Punjabi
74,Romanian
75,Russian
76,Samoan
77,Scots Gaelic
78,Serbian
79,Sesotho
80,Shona
81,Sindhi
82, Sinhala
83,Slovak
84,Slovenian
85,Somali
86,Spanish
87,Sundanese
88,Swahili
89,Swedish
90,Tajik
91,Tamil
92,Telugu
93,Thai
94,Turkish
95,Ukrainian
96,Urdu
97,Uzbek
98,Vietnamese
99,Welsh
100,Xhosa
101,Yiddish
102,Yoruba
103,Zulu
